country,activity,injury,fatal
australia,freediving for trochus shell submerged,"fatal, forearm lacerated & surgically amputated, but died of gas gangrene 13 days afterwards",y
bermuda,fishing,right foot bitten by shark caught & taken onboard  by mrs tucker north provoked incident,n
italy,fishing on a boat,no injury to occupants,n
italy ,swimming,"reported  to be fatal and involve a 6m white shark, but found to be a false report; there was no attack",nan
australia,dived into sea from launch & bitten immediately,"fatal, body was not recovered",y
croatia,swimming,fatal,y
usa,swimming,lacerations to right leg,n
australia,fishing,"no injury to occupants sharks continually followed the dinghy, and one smashed its rudder",n
australia,fishing,hand bitten while landing shark provoked incident,n
usa,standing,fatal,y
australia,body surfing,leg lacerated & punctured,n
south africa,swimming,fatal,y
south africa,swimming,right thigh lacerated,n
australia,swimming in waist-deep water,"fatal, right leg lacerated",y
australia,swimming in hip-deep water,"fatal, leg & buttocks removed",y
australia,fishing,"no injury to occupants, hooked shark, snapped at rudder & then attacked boat provoked incident",n
australia,splashing in water,"lacerated knee & foot, deep puncture wounds",n
chile,fell into the water,fatal,y
turkey,fishing,no injury,n
australia,swimming outside the safety enclosure attempting to retrieve a tennis ball drifting toward midstream,"bumped, chest bitten & badly injured",n
australia,swimming on sandbar adjacent to channel,severely lacerated  right leg  later surgically amputated & survived despite gas gangrene,n
philippines,diving,minor wounds to thigh,n
australia,free diving for trochus,"fatal, right buttock & thigh bitten",y
australia,pearl diving,"hand badly injured, right arm surgically amputated above wrist",n
australia,diving,hand severed,n
israel,fishing,"one man bitten on thigh, another on arm",n
usa,"fishing, caught a 15' shark & took it onboard",severely lacerated arm provoked incident,n
usa,bathing,right heel & ankle bitten,n
usa,swimming,foot bitten,n
usa,nan,survived,n
australia,pearl diving,"no injury, shark tore diving suit",n
usa,sitting in 3' of water,right knee & left leg bitten,n
usa,standing,left calf bitten,n
australia,fishing,"no injury, ""shark chased him ashore""",nan
barbados,yacht of michael howell capsized,"5 survived  & 4 perished, but shark involvement not confirmed",y
australia,fishing,laceration to lower leg by netted shark provoked incident,n
australia,treading water,lacerations to legs from fins of shark,n
cuba,swimming to shore from capsized sailboat,fatal,y
usa,swimming,fatal,y
australia,standing on his hands,abrasions to legs,n
australia,diving for trochus  from dinghy when seized by shark 6' below the surface,"injuries to arm, shoulder & chest, took 2 days to reach hospital",n
australia,nan,no injury to occupants shark leapt into boat during sailing races,n
australia,fishing,forearm injured by hooked shark provoked incident,n
australia,swimming,severe abdominal wounds fatal note: 14 days earlier a dog was bitten in two by a large shark,y
australia,nan,leg bitten,n
new zealand,fishing,laceration to hand  provoked incident,n
cuba,hurricane & tidal wave,nan,unknown
australia,swimming,"torso bitten with pneumothorax, slight lacerations on left hand",n
cape verde,swimming,fatal,y
fiji,catching a turtle,left arm severely bitten,n
australia,nan,hand bitten by landed shark provoked incident,n
australia,nan,bitten by landed shark provoked incident,n
usa,fishing,hooked shark gashed right leg      provoked incident,n
australia,pearl diving,bitten on buttock & leg,n
bahamas,on expedition filming a feature movie & standing on tripod,"no injury, hooked shark rammed tripod provoked incident",n
usa,nan,body recovered  from 9' shark but death due to shark bite was not confirmed,nan
canada,"fishing, hauling in fishing gear","no injury to occupants, shark bumped boat repeatedly",n
usa,fishing,knee bitten by boated shark provoked incident,n
usa,fishing,ankle broken when 500-lb boated shark lashed him with its tail provoked incident,n
fiji,free diving with goggles,fatal,y
australia,pearl diving,fatal,y
australia,pearl diving,severe injury to forearm near elbow,n
philippines,standing,"fatal, torso bitten",y
philippines,standing,"fatal, torso bitten",y
usa,swimming,two 6-inch lacerations,n
australia,fishing with dynamite,foot bitten,n
philippines,working near fish traps,"fatal, died next day at 03h00",y
australia,swimming,thigh bitten,n
australia,fishing,no details,unknown
mexico,fishing,hooked shark capsized rowboat & the 2 men were drowned provoked incident,y
south africa,collecting fish by lamplight in gully,"right shin, calf and sole of foot lacerated",n
australia,diving for trochus from lugger,left foot acerated,n
jamaica,diving off wharf,fatal,y
usa,swimming,minor injury,n
usa,swimming,right thigh & calf lacerated,n
usa,fishing,"swept out to sea by strong currents, his remains found in a 55m shark caught off barber’s point",nan
cuba,swimming,fatal  wire netting installed at local beaches after this incident,y
usa,nan,"""mysteriously disappeared"" his body was found in an 18', 750-lb shark caught at barber's point on 01-sep-1931",nan
usa,fishing for bluefish,no injury to occupants shark chasing fish struck boat,n
cuba,swimming a quarter mile offshore,"fatal, right leg bitten",y
cuba,swimming,"fatal, ""rescuers saw shark trying to drag him under by the leg""",y
usa,swimming,minor injury,n
usa,swimming,survived,n
australia,fell overboard,fatal,y
fiji,swimming,multiple injuries,n
usa,swimming,nipped on leg,n
usa,"fishing, had just speared a ulua",survived,n
usa,gaffing & attempting to bring onboard a harpooned shark,tip of finger amputated provoked incident,n
usa,crabbing,lacerations to fingers,n
australia,nan,no injury to occupants; oar & rudder bitten,n
nan,"fishing, boat capsized",fatal,y
australia,fishing with a cast net,"fatal, left thigh severely bitten",y
turkey,fishing,"no injury to occupants, shark crushed boat",n
australia,"fishing, hauling in net, shark in net","finger lacerated, provoked incident",n
australia,swimming,death may have been due to drowning,nan
australia,nan,recovered,n
australia,pearl diving,"thigh, kneecap & lower leg badly lacerated",n
australia,swimming,severe bump & few superficial wounds,n
tonga,"swimming, carrying tin can with mail to steamer","fatal, thereafter canoes were used to carry the mail",y
papua new guinea,nan,no details,unknown
australia,swimming,"bumped by shark, legs abraded",n
australia,fell overboard,fatal,y
australia,fishing,no injury to occupants; shark seized gunwale & tried to overturn boat,n
australia,nan,fatal,y
australia,thrown into water from fishing dinghy,laceration to leg,n
honduras,swimming,fatal,y
azores,nan,"no inury to occupants, shark struck boat",n
australia,fishing,minor injury,n
spain,swimming,leg bitten,n
usa,swimming,lacerations to foot & ankle,n
cuba,swimming,"right arm & leg bitten, arm & leg surgically amputated",n
usa,swimming,arm lacerated from shoulder to wrist,n
australia,nan,fatal,y
usa,swimming  floating,lacerations to arm,n
turkey,fishing,no injury but shark damaged boat,n
costa rica,air disaster,shark involvement prior to death was not confirmed,nan
south africa,nan,"remains of drowning victim recovered from 250-lb female ""blue fin"" shark",nan
usa,sponge diving,no injury to diver but shark left 3 toothmarks in his helmet,n
australia,pearl diving,arm & chest injured,n
australia,diving off pier & treading water,fatal,y
australia,removing shark from a trap,laceration to thigh from trapped shark provoked incident,n
mexico,fishing schooner jose luis foundered,remains of one of the crew found in shark,y
south africa,swimming,torso & arm bitten,n
mauritius,swimming to shore after a squall  capsized their motorized shark fishing boat,five men were said to have been killed by sharks,y
okinawa,nan,survived,n
south africa,swimming,fatal,y
australia,diving by wharf,"fatal, left arm severed above elbow, lacerations on chest, right thumb severed, left thigh lacerated to bone, abrasions",y
australia,diving,recovered at thursday island hospital,n
australia,bathing or body surfing,superficial lacerations on right leg,n
australia,pearl diving,injuries to chest & arm,n
nan,nan,fatal,y
australia,nan,fatal,y
kiribati,"sea disaster, wreck of the  ss norwich city","11 of her crew perished, most, possibly all, deaths were due to drowning",y
cuba,fishing,"shark attacked his boat, threatening to capsize it he jumped overboard & shark bit his arm he knifed & killed shark later his arm was surgically amputated",n
australia,pearl diving,heel injured,n
spain,fishing,arm injured when sharks rammed his boat,n
australia,fell from wharf into water & attacked immediately,"fatal, severe injuries to both legs",y
usa,bathing,left foot & ankle bitten,n
mexico,swimming,right leg severed below knee,n
cape verde,nan,body of woman recovered from 15' shark,nan
usa,fishing,leg bitten by hooked shark provoked incident,n
australia,pearl diving,"injuries to both legs, buttocks, back, lower abdomen & chest",n
australia,diving for trepang,thigh bitten,n
australia,diving for trochus,lacerations to right wrist,n
australia,standing in knee-deep water,right calf severely bitten by shark caught in the net provoked incident,n
australia,nan,fatal,y
australia,swimming between boats,fatal,y
usa,swimming,right sole & toes lacerated,n
australia,bathing,fatal,y
australia,launching rowboat through the surf,foot bitten,n
australia,launching rowboat through the surf,legs bitten,n
australia,body surfing,"fatal, both thighs lacerated, right foot, fingers and knee abraded, died of sepsis",y
australia,canoeing,"no injury, shark pushed canoe from jetty to a point 100 m away",n
australia,swimming,"fatal, right thigh bitten, femoral artery severed",y
australia,swimming,"fatal, right buttock lacerated, left arm severed above elbow,  right forearm severed by shark, both arms surgically amputated",y
new zealand,bathing,"one was bitten on the leg, the other on the arm",n
australia,body surfing,"fatal, right thigh & hip bitten",y
turkey,fishing boat,fatal,y
fiji,diving for coins thrown from ship ss moeraki,"fatal, hand severed, both legs & arms bitten & nearly severed",y
australia,swimming,"later found to be fiction, never happened",nan
australia,"wading, netting fish",bitten below the knee,n
usa,fishing,thigh lacerated by hooked shark provoked incident,n
australia,nan,hand lacerated,n
usa,hardhat diving,"“put hand through hatch, shark nearly bit off thumb”",n
